,Santiago,Cerrillos,Cerro Navia,Conchalí,El Bosque,Estación Central,Huechuraba,Independencia,La Cisterna,La Florida,La Granja,La Pintana,La Reina, Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,Ñuñoa,Pedro Aguirre Cerda,Peñalolén,Providencia,Pudahuel,Quilicura,Quinta Normal,Recoleta,Renca,San Joaquín,San Miguel,San Ramón,Vitacura,Puente Alto,Pirque,Colina,Lampa,Til Til,San Bernardo,Buin,Calera de Tango,Paine,Melipilla,Talagante,El Monte,Isla de Maipo,Padre Hurtado,Peñaflor
Santiago,733072.0,10465.0,12849.0,21202.0,10161.0,31647.0,9165.0,17483.0,12072.0,31688.0,16671.0,0.0,0.0,59510.0,0.0,7917.0,22100.0,23439.0,0.0,58141.0,12220.0,23999.0,82217.0,32503.0,15750.0,23604,35789,20875,13198.0,35117.0,6344.0,14913.0,30942.0,867.0,2750.0,12270.0,0.0,12586,2444.0,630.0,0.0,3203.0,1642.0,544.0,916.0,3400.0,4411.0
Cerrillos,16225.0,78247.0,562.0,140.0,2361.0,10352.0,0.0,515.0,1172.0,683.0,213.0,1534.0,1060.0,4445.0,910.0,4797.0,336.0,1562.0,31935.0,4169.0,2668.0,275.0,5343.0,3879.0,1035.0,110,658,133,1141.0,3637.0,77.0,588.0,1887.0,0.0,0.0,0.0,0.0,1796,25.0,12.0,0.0,0.0,0.0,95.0,0.0,735.0,265.0
Cerro Navia,12096.0,980.0,151680.0,0.0,149.0,256.0,802.0,546.0,2972.0,814.0,377.0,294.0,408.0,3676.0,142.0,0.0,4590.0,307.0,2241.0,788.0,571.0,426.0,1765.0,18979.0,1433.0,18501,737,2836,0.0,81.0,1352.0,872.0,92.0,0.0,1330.0,0.0,0.0,262,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conchalí,29349.0,85.0,926.0,91437.0,0.0,1792.0,4794.0,19320.0,214.0,1190.0,0.0,230.0,762.0,5861.0,998.0,0.0,601.0,298.0,1968.0,891.0,0.0,1289.0,6948.0,1046.0,9969.0,1202,8366,1947,1426.0,1647.0,174.0,1773.0,748.0,0.0,951.0,304.0,0.0,1552,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Bosque,8955.0,1937.0,0.0,0.0,199052.0,513.0,168.0,894.0,14252.0,1770.0,1316.0,10935.0,0.0,1945.0,948.0,1263.0,0.0,206.0,1405.0,1368.0,0.0,121.0,1438.0,1199.0,460.0,27,555,112,984.0,493.0,557.0,121.0,1615.0,248.0,502.0,0.0,0.0,18047,94.0,417.0,0.0,576.0,0.0,66.0,0.0,0.0,159.0
Estación Central,36618.0,10610.0,1900.0,848.0,720.0,159849.0,1477.0,883.0,1467.0,8424.0,1314.0,648.0,95.0,5911.0,649.0,2755.0,5406.0,2055.0,19640.0,5925.0,2341.0,507.0,8794.0,10492.0,1391.0,5479,1272,6296,862.0,93.0,536.0,2476.0,3740.0,111.0,774.0,108.0,0.0,1632,216.0,0.0,0.0,111.0,427.0,0.0,94.0,85.0,362.0
Huechuraba,11405.0,41.0,710.0,4500.0,107.0,2117.0,97696.0,4572.0,466.0,4594.0,0.0,76.0,580.0,4634.0,956.0,859.0,570.0,183.0,4521.0,2841.0,819.0,2972.0,3888.0,1672.0,7506.0,3198,13168,1963,111.0,1383.0,2184.0,3778.0,1233.0,0.0,152.0,297.0,0.0,958,0.0,21.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
Independencia,19664.0,508.0,594.0,18651.0,584.0,662.0,4535.0,80108.0,330.0,1175.0,0.0,259.0,612.0,2417.0,407.0,0.0,34.0,987.0,3256.0,657.0,609.0,774.0,3967.0,868.0,6346.0,260,1285,6603,63.0,808.0,607.0,98.0,1044.0,0.0,355.0,845.0,0.0,1635,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
La Cisterna,25964.0,2398.0,2783.0,2016.0,15891.0,2386.0,1455.0,3165.0,128626.0,8610.0,3055.0,4601.0,1059.0,10727.0,798.0,3827.0,847.0,5575.0,2451.0,6739.0,1294.0,2977.0,9166.0,1752.0,902.0,374,1909,1613,2664.0,16886.0,13254.0,4482.0,7951.0,139.0,637.0,0.0,0.0,6327,145.0,234.0,0.0,113.0,0.0,0.0,0.0,100.0,551.0
La Florida,36964.0,784.0,379.0,263.0,1229.0,8836.0,637.0,1264.0,3054.0,423167.0,14970.0,7848.0,6429.0,8948.0,256.0,719.0,891.0,21252.0,7082.0,15247.0,83.0,12685.0,24312.0,1436.0,3311.0,879,2337,1663,7505.0,5574.0,3685.0,3168.0,44257.0,1147.0,267.0,1341.0,0.0,2113,258.0,100.0,0.0,2483.0,0.0,0.0,0.0,0.0,0.0
